white;black;white_result
Ibrahim Emad Eldin;Hartingerova Martina;1.0
Gvozdjak Peter;Ulcak Michael;0.0
Huska Jan;Bures Lukas;1.0
Krakovsky Matej;Tulis Jan;1.0
Shelest Oleksii;Perecz Mario;1.0
Holba Josef;Synek Jaroslav;1.0
Pelanek Daniel;Fojtik Jakub;1.0
Vaculik Martin;Valent Tomas;1.0
Buch Marek;Petrisakova Katarina;0.0
Kostelnik Martin;Vitek Tomas;1.0
Prc Daniel;Roman Filip;1.0
Palenik Martin;Radsetoulal Vlastimil;1.0
Kromp Milos;Varsanyi Adam;1.0
Jokay David;Stefan Matej;1.0
Maresova Valentyna Marie;Cernicky Martin;1.0

Kuchar Matej;Rucek Kristian;1.0
Rysanek Jakub;Krakovsky Matej;1.0
Kucera David;Ibrahim Emad Eldin;1.0
Kuna Martin;Ulcak Michael;0.0
Gvozdjak Peter;Prc Daniel;1.0
Huska Jan;Vaculik Martin;0.5
Shelest Oleksii;Tulis Jan;1.0
Holba Josef;Perecz Mario;1.0
Rosecky Patrik;Palenik Martin;1.0
Pelanek Daniel;Bures Lukas;1.0
Synek Jaroslav;Radsetoulal Vlastimil;1.0
Buch Marek;Varsanyi Adam;1.0
Kostelnik Martin;Valent Tomas;1.0
Hartingerova Martina;Kromp Milos;1.0
Petrisakova Katarina;Fojtik Jakub;0.0
Roman Filip;Maresova Valentyna Marie;1.0
Vitek Tomas;Jokay David;1.0
Stefan Matej;Cernicky Martin;0.0

Kuchar Matej;Kucera David;1.0
Rucek Kristian;Ulcak Michael;1.0
Rysanek Jakub;Shelest Oleksii;1.0
Kuna Martin;Holba Josef;1.0
Ibrahim Emad Eldin;Vaculik Martin;1.0
Gvozdjak Peter;Rosecky Patrik;1.0
Huska Jan;Hartingerova Martina;1.0
Krakovsky Matej;Pelanek Daniel;1.0
Tulis Jan;Perecz Mario;1.0
Synek Jaroslav;Valent Tomas;1.0
Buch Marek;Kostelnik Martin;0.5
Prc Daniel;Bures Lukas;1.0
Petrisakova Katarina;Kromp Milos;1.0
Fojtik Jakub;Vitek Tomas;1.0
Palenik Martin;Roman Filip;1.0
Radsetoulal Vlastimil;Varsanyi Adam;1.0
Jokay David;Cernicky Martin;1.0
Maresova Valentyna Marie;Stefan Matej;0.5

Kuchar Matej;Huska Jan;1.0
Rucek Kristian;Rysanek Jakub;1.0
Kucera David;Ulcak Michael;1.0
Kuna Martin;Krakovsky Matej;1.0
Ibrahim Emad Eldin;Shelest Oleksii;1.0
Gvozdjak Peter;Kostelnik Martin;1.0
Holba Josef;Prc Daniel;1.0
Tulis Jan;Palenik Martin;1.0
Rosecky Patrik;Petrisakova Katarina;1.0
Pelanek Daniel;Hartingerova Martina;1.0
Synek Jaroslav;Fojtik Jakub;1.0
Buch Marek;Roman Filip;1.0
Valent Tomas;Vitek Tomas;1.0
Bures Lukas;Jokay David;1.0
